type,algorithm,condition,N,V_bytes,K,T_ms
int,MultiThreadedHeapSort,Best,200000,0,15843487,10.106
int,MultiThreadedHeapSort,Worst,500000,0,45904885,27.8273
int,MultiThreadedHeapSort,Uniform,500000,0,44469061,34.9264
int,MultiThreadedHeapSort,Normal,500000,0,44442976,39.0326
int,MultiThreadedHeapSort,Best,500000,0,42983347,27.0038
int,MultiThreadedHeapSort,Worst,1000000,0,97055445,58.0571
int,MultiThreadedHeapSort,Uniform,1000000,0,93939411,78.1578
int,MultiThreadedHeapSort,Normal,1000000,0,93880115,2624.15
int,MultiThreadedHeapSort,Best,1000000,0,91001660,57.7177
int,MultiThreadedBubbleSort,Worst,10000,0,199980000,208.556
int,MultiThreadedBubbleSort,Uniform,10000,0,125009276,141.873
int,MultiThreadedBubbleSort,Normal,10000,0,124993384,143.361
int,MultiThreadedBubbleSort,Best,10000,0,49995000,12.5731
int,MultiThreadedBubbleSort,Worst,20000,0,799960000,851.594
int,MultiThreadedBubbleSort,Uniform,20000,0,499793534,57417.2

=== Experiment: double ===
[double] 1/336 InsertionSort N=10000 Worst ...  done
[double] 2/336 InsertionSort N=10000 Uniform ...  done
[double] 3/336 InsertionSort N=10000 Normal ...  done
[double] 4/336 InsertionSort N=10000 Best ...  done
[double] 5/336 InsertionSort N=20000 Worst ...  done
[double] 6/336 InsertionSort N=20000 Uniform ...  done
[double] 7/336 InsertionSort N=20000 Normal ...  done
[double] 8/336 InsertionSort N=20000 Best ...  done
[double] 9/336 InsertionSort N=50000 Worst ...  done
[double] 10/336 InsertionSort N=50000 Uniform ...  done
[double] 11/336 InsertionSort N=50000 Normal ...  done
[double] 12/336 InsertionSort N=50000 Best ...  done
[double] 13/336 InsertionSort N=100000 Worst ...  done
[double] 14/336 InsertionSort N=100000 Uniform ...  done
[double] InsertionSort timeout, skipping N>=200000
[double] 27/336 QuickSort N=10000 Worst ...  done
[double] 28/336 QuickSort N=10000 Uniform ...  done
[double] 29/336 QuickSort N=10000 Normal ...  done
[double] 30/336 QuickSort N=10000 Best ...  done
[double] 31/336 QuickSort N=20000 Worst ...  done
[double] 32/336 QuickSort N=20000 Uniform ...  done
[double] 33/336 QuickSort N=20000 Normal ...  done
[double] 34/336 QuickSort N=20000 Best ...  done
[double] 35/336 QuickSort N=50000 Worst ...  done
[double] 36/336 QuickSort N=50000 Uniform ...  done
[double] 37/336 QuickSort N=50000 Normal ...  done
[double] 38/336 QuickSort N=50000 Best ...  done
[double] 39/336 QuickSort N=100000 Worst ...  done
[double] 40/336 QuickSort N=100000 Uniform ...  done
[double] 41/336 QuickSort N=100000 Normal ...  done
[double] 42/336 QuickSort N=100000 Best ...  done
[double] 43/336 QuickSort N=200000 Worst ...  done
[double] 44/336 QuickSort N=200000 Uniform ...  done
[double] 45/336 QuickSort N=200000 Normal ...  done
[double] 46/336 QuickSort N=200000 Best ...  done
[double] 47/336 QuickSort N=500000 Worst ...  done
[double] 48/336 QuickSort N=500000 Uniform ...  done
[double] 49/336 QuickSort N=500000 Normal ...  done
[double] 50/336 QuickSort N=500000 Best ...  done
[double] 51/336 QuickSort N=1000000 Worst ...  done
[double] 52/336 QuickSort N=1000000 Uniform ...  done
[double] 53/336 QuickSort N=1000000 Normal ...  done
[double] 54/336 QuickSort N=1000000 Best ...  done
[double] 55/336 MergeSort N=10000 Worst ...  done
[double] 56/336 MergeSort N=10000 Uniform ...  done
[double] 57/336 MergeSort N=10000 Normal ...  done
[double] 58/336 MergeSort N=10000 Best ...  done
[double] 59/336 MergeSort N=20000 Worst ...  done
[double] 60/336 MergeSort N=20000 Uniform ...  done
[double] 61/336 MergeSort N=20000 Normal ...  done
[double] 62/336 MergeSort N=20000 Best ...  done
[double] 63/336 MergeSort N=50000 Worst ...  done
[double] 64/336 MergeSort N=50000 Uniform ...  done
[double] 65/336 MergeSort N=50000 Normal ...  done
[double] 66/336 MergeSort N=50000 Best ...  done
[double] 67/336 MergeSort N=100000 Worst ...  done
[double] 68/336 MergeSort N=100000 Uniform ...  done
[double] 69/336 MergeSort N=100000 Normal ...  done
[double] 70/336 MergeSort N=100000 Best ...  done
[double] 71/336 MergeSort N=200000 Worst ...  done
[double] 72/336 MergeSort N=200000 Uniform ...  done
[double] 73/336 MergeSort N=200000 Normal ...  done
[double] 74/336 MergeSort N=200000 Best ...  done
[double] 75/336 MergeSort N=500000 Worst ...  done
[double] 76/336 MergeSort N=500000 Uniform ...  done
[double] 77/336 MergeSort N=500000 Normal ...  done
[double] MergeSort timeout, skipping N>=1000000
[double] 82/336 HeapSort N=10000 Worst ...  done
[double] 83/336 HeapSort N=10000 Uniform ...  done
[double] 84/336 HeapSort N=10000 Normal ...  done
[double] 85/336 HeapSort N=10000 Best ...  done
[double] 86/336 HeapSort N=20000 Worst ...  done
[double] 87/336 HeapSort N=20000 Uniform ...  done
[double] 88/336 HeapSort N=20000 Normal ...  done
[double] 89/336 HeapSort N=20000 Best ...  done
[double] 90/336 HeapSort N=50000 Worst ...  done
[double] 91/336 HeapSort N=50000 Uniform ...  done
[double] 92/336 HeapSort N=50000 Normal ...  done
[double] 93/336 HeapSort N=50000 Best ...  done
[double] 94/336 HeapSort N=100000 Worst ...  done
[double] 95/336 HeapSort N=100000 Uniform ...  done
[double] 96/336 HeapSort N=100000 Normal ...  done
[double] 97/336 HeapSort N=100000 Best ...  done
[double] 98/336 HeapSort N=200000 Worst ...  done
[double] 99/336 HeapSort N=200000 Uniform ...  done
[double] 100/336 HeapSort N=200000 Normal ...  done
[double] 101/336 HeapSort N=200000 Best ...  done
